Maker_ID,Original_Data,Maker_Type,Actor_Type,Organisation_Name,Title,Initials,Surname,First_name,Suffix,Disambiguation_Numeral,Label,VIAF_URI,Wikidata_URI,Alt_name1,Alt_name2,Alt_name3,Alt_name4,Alt_name5,Alt_name6,Alt_name7,Misc_Info
M-50,"Makers ref: 50 | Surname: BLUNT | First name: Thomas (I) | Alt name: | Date 1 qual: w | Date 1: 1794 | Date 2 qual: d | Date 2: 1823 | Misc info 1: Partnership 1774-93; R.apt Geo.III 1785; Master | Misc info 2: SMC 1792-1794, 1815-1817; d 16 March 1823 | Misc info 3: | Misc info 4: | Guild: Spectaclemakers, fr 1771 | Mig town: L | Count stat: y | Adv trade 1: Math IM, Optician | Adv trade 2:",Person,Maker,,,,Blunt,Thomas,,I,Thomas Blunt,,,,,,,,,,"Partnership 1774-93; R.apt Geo.III 1785; Master | SMC 1792-1794, 1815-1817; d 16 March 1823 | Spectaclemakers, fr 1771"

M-51,"Makers ref: 51 | Surname: BOIG | First name: John | Alt name: BOOK | Date 1 qual: fl | Date 1: 1649 | Date 2 qual: d | Date 2: 1663 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: D | Count stat: u | Adv trade 1: Mathematician, Math IM ? | Adv trade 2:",Person,Maker,,,,Boig,John,,,John Boig,,,Book,,,,,,,

M-52,Makers ref: 52 | Surname: BOLL | First name: John | Alt name: | Date 1 qual: fl | Date 1: 1666 | Date 2 qual: fl | Date 2: 1666 | Misc info 1: Country where working unknown | Misc info 2: | Misc info 3: | Misc info 4: | Guild: 0 | Mig town: 0 | Count stat: n | Adv trade 1: | Adv trade 2:,Person,Maker,,,,Boll,John,,,John Boll,,,,,,,,,,Country where working unknown

M-53,Makers ref: 53 | Surname: BRAILSFORD | First name: John | Alt name: | Date 1 qual: a | Date 1: 1750 | Date 2 qual: a | Date 2: 1750 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Cutler | Adv trade 2:,Person,Maker,,,,Brailsford,John,,,John Brailsford,,,,,,,,,,Member of an unknown guild

M-54,"Makers ref: 54 | Surname: BRIDGER | First name: Richard | Alt name: | Date 1 qual: w | Date 1: 1714 | Date 2 qual: w | Date 2: 1717 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Math IM, Phil IM | Adv trade 2:",Person,Maker,,,,Bridger,Richard,,,Richard Bridger,,,,,,,,,,Member of an unknown guild

M-55,Makers ref: 55 | Surname: BROWN | First name: James (I) | Alt name: | Date 1 qual: w | Date 1: 1773 | Date 2 qual: d | Date 2: 1789 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: G | Count stat: y | Adv trade 1: Hydrostatic Bubble M | Adv trade 2:,Person,Maker,,,,Brown,James,,I,James Brown,,,,,,,,,,

M-56,"Makers ref: 56 | Surname: BISSAKER | First name: Robert | Alt name: BISSACER | Date 1 qual: w | Date 1: 1642 | Date 2 qual: w | Date 2: 1664 | Misc info 1: s.1634 in Stationers Co, no freedom found | Misc info 2: | Misc info 3: | Misc info 4: | Guild: [Stationers] | Mig town: L | Count stat: y | Adv trade 1: Math IM (in wood) | Adv trade 2:",Person,Maker,,,,Bissaker,Robert,,,Robert Bissaker,,,Bissacer,,,,,,,"s.1634 in Stationers Co, no freedom found | Apprenticed in Stationers, but freedom not traced"

M-57,Makers ref: 57 | Surname: BROUGHTON | First name: William | Alt name: | Date 1 qual: w | Date 1: 1679 | Date 2 qual: w | Date 2: 1679 | Misc info 1: Maker or owner ? | Misc info 2: | Misc info 3: | Misc info 4: | Guild: 0 | Mig town: 0 | Count stat: u | Adv trade 1: | Adv trade 2:,Person,Maker,,,,Broughton,William,,,William Broughton,,,,,,,,,,Maker or owner ?

M-58,"Makers ref: 58 | Surname: BROWNE | First name: John (I) | Alt name: | Date 1 qual: w | Date 1: 1759 | Date 2 qual: w | Date 2: 1779 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Compass M, Ship Chandler | Adv trade 2:",Person,Maker,,,,Browne,John,,I,John Browne,,,,,,,,,,Member of an unknown guild

M-59,"Makers ref: 59 | Surname: BUIRD | First name: Edward | Alt name: | Date 1 qual: w | Date 1: 1674 | Date 2 qual: c | Date 2: 1680 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: D | Count stat: y | Adv trade 1: Ship chandler, Naut IS, Naut IM ?, Ship's Captain | Adv trade 2:",Person,Maker,,,,Buird,Edward,,,Edward Buird,,,,,,,,,,

M-60,Makers ref: 60 | Surname: BURTON | First name: George (I) | Alt name: | Date 1 qual: w | Date 1: 1793 | Date 2 qual: w | Date 2: 1802 | Misc info 1: b 1753 | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Optician | Adv trade 2:,Person,Maker,,,,Burton,George,,I,George Burton,,,,,,,,,,b 1753 | Member of an unknown guild

M-61,Makers ref: 61 | Surname: BURTON | First name: W.illiam | Alt name: | Date 1 qual: w | Date 1: 1749 | Date 2 qual: w | Date 2: 1749 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: IM (no type given) | Adv trade 2:,Person,Maker,,,,Burton,W.illiam,,,W.illiam Burton,,,,,,,,,,Member of an unknown guild

M-62,Makers ref: 62 | Surname: LAMBRECHTS | First name: Thomas | Alt name: See GEMINI Thomas | Date 1 qual: 0 | Date 1: 0 | Date 2 qual: 0 | Date 2: 0 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: 0 | Mig town: L | Count stat: x | Adv trade 1: | Adv trade 2:,Person,Maker,,,,Lambrechts,Thomas,,,Thomas Lambrechts,,,See Gemini Thomas,,,,,,,

M-63,"Makers ref: 63 | Surname: GEMINI | First name: Thomas | Alt name: LAMBRECHTS,  GEMYNE, T.G.LAMBRIT, JEMYNIE, GEMYNY | Date 1 qual: w | Date 1: 1532 | Date 2 qual: w | Date 2: 1562 | Misc info 1: Used sign of Gemini as trade-mark; Bookseller, Map Seller; produced an edition of Vesaluis' Anatomy 1645, for which he received a pension of £10 p.a. from Henry VIII and successive monarchs; d.1562 | Misc info 2: | Misc info 3: | Misc info 4: | Guild: Stationers | Mig town: IM-L | Count stat: y | Adv trade 1: Engraver, Math IM, Printer | Adv trade 2:",Person,Maker,,,,Gemini,Thomas,,,Thomas Gemini,,https://www.wikidata.org/wiki/Q7789970,Thomas Lambrechts,Thomas Gemyne,T.G.Lambrit,Thomas Jemynie,Thomas Gemyny,,,"Used sign of Gemini as trade-mark; Bookseller, Map Seller; produced an edition of Vesaluis' Anatomy 1645, for which he received a pension of £10 p.a. from Henry VIII and successive monarchs; d.1562"

M-64,Makers ref: 64 | Surname: W.B. | First name: | Alt name: | Date 1 qual: fl | Date 1: 1551 | Date 2 qual: fl | Date 2: 1551 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: 0 | Mig town: 0 | Count stat: y | Adv trade 1: | Adv trade 2:,Person,Maker,,,W.B.,,,,,W.B.,,,,,,,,,,

M-65,"Makers ref: 65 | Surname: COLE | First name: Humfrey | Alt name: COOLE, COLLE, COOLLE, Humfrae, Humfray Humphrey, Hvmfray | Date 1 qual: w | Date 1: 1568 | Date 2 qual: w | Date 2: 1590 | Misc info 1: Assistant to the Mint 1564; d 1591; supplied instruments for the Frobisher voyages 1576-78; Buried at St.Gregory by St.Paul, 5 July 1591 | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: P-L | Count stat: y | Adv trade 1: Goldsmith, Math IM (in metal); Engraver | Adv trade 2:",Person,Maker,,,,Cole,Humfrey,,,Humfrey Cole,,https://www.wikidata.org/wiki/Q5940746,Humfrey Coole,Humfrey Colle,Humfrey Coolle,Humfrae Cole,Humfray Cole,Humphrey Cole,Hvmfray Cole,"Assistant to the Mint 1564; d 1591; supplied instruments for the Frobisher voyages 1576-78; Buried at St.Gregory by St.Paul, 5 July 1591 | Member of an unknown guild"

M-66,Makers ref: 66 | Surname: TOMPON | First name: Samuel | Alt name: | Date 1 qual: w | Date 1: 1773 | Date 2 qual: w | Date 2: 1775 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: B | Count stat: y | Adv trade 1: Optician | Adv trade 2:,Person,Maker,,,,Tompon,Samuel,,,Samuel Tompon,,,,,,,,,,

M-67,"Makers ref: 67 | Surname: OAKLEY | First name: Joseph (I) | Alt name: did he move to Liverpool ? | Date 1 qual: w | Date 1: 1767 | Date 2 qual: w | Date 2: 1781 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: B | Count stat: y | Adv trade 1: Optician, Optical IM, Spec M | Adv trade 2:",Person,Maker,,,,Oakley,Joseph,,I,Joseph Oakley,,,,,,,,,,Alt name: Did He Move To Liverpool ?

M-68,"Makers ref: 68 | Surname: JARVIS | First name: Charles | Alt name: JARVICE | Date 1 qual: w | Date 1: 1773 | Date 2 qual: w | Date 2: 1788 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: B | Count stat: y | Adv trade 1: Pincer M, Compass M | Adv trade 2:",Person,Maker,,,,Jarvis,Charles,,,Charles Jarvis,,,Jarvice,,,,,,,

M-69,"Makers ref: 69 | Surname: NORMAN | First name: Robert (I) | Alt name: | Date 1 qual: w | Date 1: 1605 | Date 2 qual: w | Date 2: 1605 | Misc info 1: fl 1560; invented dip needle | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Hydrographer, Compass M | Adv trade 2:",Person,Maker,,,,Norman,Robert,,I,Robert Norman,,,,,,,,,,fl 1560; invented dip needle | Member of an unknown guild

M-70,"Makers ref: 70 | Surname: NEWSAM | First name: Bartholomew | Alt name: Bartilmewe, NEWSUM, NUSAM, Bartelemewe | Date 1 qual: w | Date 1: 1568 | Date 2 qual: w | Date 2: 1568 | Misc info 1: d 1593; R apt. Elizabeth I | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Clock M | Adv trade 2:",Person,Maker,,,,Newsam,Bartholomew,,,Bartholomew Newsam,,https://www.wikidata.org/wiki/Q267855,Bartilmewe Newsam,Bartholemew Newsum,Bartholemew Nusam,Bartelemewe Newsam,,,,d 1593; R apt. Elizabeth I | Member of an unknown guild

M-71,"Makers ref: 71 | Surname: RYTHER | First name: Augustine | Alt name: RIDER Augustin | Date 1 qual: w | Date 1: 1576 | Date 2 qual: w | Date 2: 1593 | Misc info 1: Engraver of maps; in Fleet Prison 1594 according to some authors, but this appears to be a different Mr.Ryther as Augustine Ryther was buried 30 Aug 1593 at St.Andrew Undershaft, City of London (G.L'ET); b.c.1550 | Misc info 2: | Misc info 3: | Misc info 4: | Guild: Grocers, nd | Mig town: P-L | Count stat: y | Adv trade 1: Engraver, Math IM | Adv trade 2:",Person,Maker,,,,Ryther,Augustine,,,Augustine Ryther,,https://www.wikidata.org/wiki/Q4821212,Rider Augustin,,,,,,,"Engraver of maps; in Fleet Prison 1594 according to some authors, but this appears to be a different Mr.Ryther as Augustine Ryther was buried 30 Aug 1593 at St.Andrew Undershaft, City of London (G.L'ET); b.c.1550"

M-72,"Makers ref: 72 | Surname: BULL | First name: John | Alt name: | Date 1 qual: w | Date 1: 1582 | Date 2 qual: w | Date 2: 1582 | Misc info 1: Possibly the John BULL, goldsmith, of the parish | Misc info 2: of St. Michael, Cornhill, who died 1589; possibly worked at the Mint | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Math IM (in metal) | Adv trade 2:",Person,Maker,,,,Bull,John,,,John Bull,,,,,,,,,,"Possibly the John BULL, goldsmith, of the parish | of St. Michael, Cornhill, who died 1589; possibly worked at the Mint | Member of an unknown guild"

M-73,Makers ref: 73 | Surname: LOCKERSON | First name: James | Alt name: | Date 1 qual: w | Date 1: 1582 | Date 2 qual: w | Date 2: 1582 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Math IM (in wood) | Adv trade 2:,Person,Maker,,,,Lockerson,James,,,James Lockerson,,,,,,,,,,Member of an unknown guild

M-74,"Makers ref: 74 | Surname: READ | First name: John (I) | Alt name: READE | Date 1 qual: w | Date 1: 1580 | Date 2 qual: w | Date 2: 1616 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: Stationers, fr 1569 | Mig town: L | Count stat: y | Adv trade 1: Math IM (in wood) | Adv trade 2:",Person,Maker,,,,Read,John,,I,John Read,,,Reade,,,,,,,"Stationers, fr 1569"

M-75,Makers ref: 75 | Surname: REYNOLDS | First name: John | Alt name: | Date 1 qual: w | Date 1: 1582 | Date 2 qual: w | Date 2: 1590 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Math IM | Adv trade 2:,Person,Maker,,,,Reynolds,John,,,John Reynolds,,,,,,,,,,Member of an unknown guild

M-76,"Makers ref: 76 | Surname: KYNVYN | First name: James | Alt name: KYNFIN, KYNWIN, KYNUIN, KENVEN, | Date 1 qual: w | Date 1: 1584 | Date 2 qual: d | Date 2: 1615 | Misc info 1: bur 19 Dec 1615 St.Bride Fleet St; b Llantilio, | Misc info 2: Monmouthshire c.1550 | Misc info 3: | Misc info 4: | Guild: Merchant Taylors fr 1573 | Mig town: L | Count stat: y | Adv trade 1: Math IM (in brass) | Adv trade 2:",Person,Maker,,,,Kynvyn,James,,,James Kynvyn,,https://www.wikidata.org/wiki/Q24033559,James Kynfin,James Kynwin,James Kynuin,James Kenven,,,,"bur 19 Dec 1615 St.Bride Fleet St; b Llantilio, | Monmouthshire c.1550 | Merchant Taylors fr 1573"

M-77,"Makers ref: 77 | Surname: JACOB | First name: Christopher | Alt name: | Date 1 qual: w | Date 1: 1761 | Date 2 qual: w | Date 2: 1776 | Misc info 1: Bankrupt 1763 | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: W-B | Count stat: y | Adv trade 1: Rule M, Snuffer M | Adv trade 2:",Person,Maker,,,,Jacob,Christopher,,,Christopher Jacob,,,,,,,,,,Bankrupt 1763

M-78,Makers ref: 78 | Surname: FROST | First name: | Alt name: | Date 1 qual: w | Date 1: 1777 | Date 2 qual: w | Date 2: 1781 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: B | Count stat: y | Adv trade 1: Rule M | Adv trade 2:,Person,Maker,,,,Frost,,,,Frost,,,,,,,,,,

M-79,Makers ref: 79 | Surname: AULT | First name: Widow | Alt name: | Date 1 qual: w | Date 1: 1780 | Date 2 qual: w | Date 2: 1781 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: B | Count stat: yw | Adv trade 1: Compass M | Adv trade 2:,Person,Maker,,,,Ault,Widow,,,Widow Ault,,,,,,,,,,

M-80,"Makers ref: 80 | Surname: BARNET | First name: Asher | Alt name: BARNETT | Date 1 qual: w | Date 1: 1770 | Date 2 qual: w | Date 2: 1781 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: B | Count stat: y | Adv trade 1: Spec grinder, Optician | Adv trade 2:",Person,Maker,,,,Barnet,Asher,,,Asher Barnet,,,Barnett,,,,,,,

M-81,Makers ref: 81 | Surname: OSBORN | First name: Thomas | Alt name: | Date 1 qual: w | Date 1: 1586 | Date 2 qual: w | Date 2: 1593 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: 0 | Count stat: y | Adv trade 1: | Adv trade 2:,Person,Maker,,,,Osborn,Thomas,,,Thomas Osborn,,,,,,,,,,

M-82,"Makers ref: 82 | Surname: MOLYNEUX | First name: Emery | Alt name: MULLINAUX | Date 1 qual: w | Date 1: 1592 | Date 2 qual: w | Date 2: 1598 | Misc info 1: Author; first English globe M; | Misc info 2: d between June 1598 and April 1599; some globes | Misc info 3: were completed after his death, apparently by Hondius, including a | Misc info 4: pair at Middle Temple, of which the terrestrial is dated 1603 | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Compass M | Adv trade 2:",Person,Maker,,,,Molyneux,Emery,,,Emery Molyneux,,https://www.wikidata.org/wiki/Q2300479,Mullinaux,,,,,,,"Author; first English globe M; | d between June 1598 and April 1599; some globes | were completed after his death, apparently by Hondius, including a | pair at Middle Temple, of which the terrestrial is dated 1603 | Member of an unknown guild"

M-83,Makers ref: 83 | Surname: EVESHAM | First name: Epiphanius | Alt name: Possibly the maker of inst signed E.E. | Date 1 qual: w | Date 1: 1589 | Date 2 qual: w | Date 2: 1589 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: 0 | Count stat: y | Adv trade 1: | Adv trade 2:,Person,Maker,,,,Evesham,Epiphanius,,,Epiphanius Evesham,,,,,,,,,,Possibly the maker of inst signed E.E.

M-84,"Makers ref: 84 | Surname: COOKE | First name: Francis | Alt name: | Date 1 qual: fl | Date 1: 1590 | Date 2 qual: w | Date 2: 1596 | Misc info 1: Probably the Francis Cooke, son of Thomas, cloth- | Misc info 2: maker of London, who took a B.A. at Oxford 1584 | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Mathematician, Math IS | Adv trade 2:",Person,Maker,,,,Cooke,Francis,,,Francis Cooke,,,,,,,,,,"Probably the Francis Cooke, son of Thomas, cloth- | maker of London, who took a B.A. at Oxford 1584 | Member of an unknown guild"

M-85,Makers ref: 85 | Surname: JACKSON | First name: Christopher | Alt name: | Date 1 qual: w | Date 1: 1616 | Date 2 qual: w | Date 2: 1616 | Misc info 1: fl 1590 | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Math IM | Adv trade 2:,Person,Maker,,,,Jackson,Christopher,,,Christopher Jackson,,,,,,,,,,fl 1590 | Member of an unknown guild

M-86,Makers ref: 86 | Surname: PAINE | First name: Christopher | Alt name: | Date 1 qual: w | Date 1: 1584 | Date 2 qual: w | Date 2: 1590 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Math IM | Adv trade 2:,Person,Maker,,,,Paine,Christopher,,,Christopher Paine,,,,,,,,,,Member of an unknown guild

M-87,"Makers ref: 87 | Surname: WHITWELL | First name: Charles | Alt name: | Date 1 qual: w | Date 1: 1593 | Date 2 qual: w | Date 2: 1611 | Misc info 1: d.1611 | Misc info 2: | Misc info 3: | Misc info 4: | Guild: Grocers, fr 1590 | Mig town: L | Count stat: y | Adv trade 1: Engraver, Math IM | Adv trade 2:",Person,Maker,,,,Whitwell,Charles,,,Charles Whitwell,,https://www.wikidata.org/wiki/Q24050075,,,,,,,,"d.1611 | Grocers, fr 1590"

M-88,Makers ref: 88 | Surname: C.W. | First name: | Alt name: | Date 1 qual: 0 | Date 1: 0 | Date 2 qual: 0 | Date 2: 0 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: 0 | Count stat: y | Adv trade 1: | Adv trade 2:,Person,Maker,,,C.W.,,,,,C.W.,,,,,,,,,,

M-89,"Makers ref: 89 | Surname: DREBBEL | First name: Cornelius | Alt name: DRIBBLE Cornelis | Date 1 qual: w | Date 1: 1605 | Date 2 qual: d | Date 2: 1633 | Misc info 1: First maker compound microscopes in England; in | Misc info 2: Prague 1610-12, b 1572 in Holland; d, in London,  bur. Holy Trinity, Minories, London, 16 Oct. 1633; 1627 paid £100 by Charles I (along with colleague Rotispan) for inventing water engine; 1630 involvd in drainage works in the fens. | Misc info 3: | Misc info 4: | Guild: u | Mig town: IM-L | Count stat: y | Adv trade 1: Mathematician, Engineer, [Optician IM] | Adv trade 2:",Person,Maker,,,,Drebbel,Cornelius,,,Cornelius Drebbel,,https://www.wikidata.org/wiki/Q365463,Dribble Cornelis,,,,,,,"First maker compound microscopes in England; in | Prague 1610-12, b 1572 in Holland; d, in London, bur. Holy Trinity, Minories, London, 16 Oct. 1633; 1627 paid £100 by Charles I (along with colleague Rotispan) for inventing water engine; 1630 involvd in drainage works in the fens. | Member of an unknown guild"

M-90,Makers ref: 90 | Surname: LEWIS | First name: John (I) | Alt name: | Date 1 qual: d | Date 1: 1621 | Date 2 qual: d | Date 2: 1621 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Compass M | Adv trade 2:,Person,Maker,,,,Lewis,John,,I,John Lewis,,,,,,,,,,Member of an unknown guild

M-91,"Makers ref: 91 | Surname: THOMPSON | First name: John (I) | Alt name: TOMSON, TOMPSON, Iohn | Date 1 qual: w | Date 1: 1610 | Date 2 qual: w | Date 2: 1662 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: Stationers, 1609/10 | Mig town: L | Count stat: y | Adv trade 1: Math IM (in wood) | Adv trade 2:",Person,Maker,,,,Thompson,John,,I,John Thompson,,,John Tomson,John Tompson,Iohn Thompson,,,,,"Stationers, 1609/10"

M-92,"Makers ref: 92 | Surname: BEAVESS | First name: Edward | Alt name: BEAVISS | Date 1 qual: w | Date 1: 1729 | Date 2 qual: w | Date 2: 1762 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Math IM, Phil IM, Optical IM, Engine M, Clock M, | Adv trade 2:",Person,Maker,,,,Beavess,Edward,,,Edward Beavess,,,Beaviss,,,,,,,Member of an unknown guild

M-93,Makers ref: 93 | Surname: STERNE | First name: Thomas | Alt name: STERN | Date 1 qual: w | Date 1: 1619 | Date 2 qual: w | Date 2: 1631 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: Globe M | Adv trade 2:,Person,Maker,,,,Sterne,Thomas,,,Thomas Sterne,,,Stern,,,,,,,Member of an unknown guild

M-94,"Makers ref: 94 | Surname: GOSSE | First name: Nathaniel | Alt name: GORSE, GOS, Nathanaell, Nathaniell | Date 1 qual: w | Date 1: 1612 | Date 2 qual: w | Date 2: 1637 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: Stationers, fr 1611 | Mig town: L | Count stat: y | Adv trade 1: Math IM (in wood) | Adv trade 2:",Person,Maker,,,,Gosse,Nathaniel,,,Nathaniel Gosse,,,Nathaniel Gorse,Nathaniel Gos,Nathanaell Gosse,Nathaniell Gosse,,,,"Stationers, fr 1611"

M-95,Makers ref: 95 | Surname: E.B. | First name: | Alt name: | Date 1 qual: a | Date 1: 1625 | Date 2 qual: a | Date 2: 1625 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: 0 | Count stat: y | Adv trade 1: | Adv trade 2:,Person,Maker,,,E.B.,,,,,E.B.,,,,,,,,,,

M-96,"Makers ref: 96 | Surname: BATES | First name: | Alt name: | Date 1 qual: w | Date 1: 1626 | Date 2 qual: w | Date 2: 1626 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: u | Mig town: L | Count stat: y | Adv trade 1: [Math IM, Optical IM] | Adv trade 2:",Person,Maker,,,,Bates,,,,Bates,,,,,,,,,,Member of an unknown guild

M-97,"Makers ref: 97 | Surname: BROWN | First name: Thomas (I) | Alt name: BROWNE | Date 1 qual: w | Date 1: 1626 | Date 2 qual: w | Date 2: 1657 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: Joiners, fr 1623 or 1624 | Mig town: L | Count stat: y | Adv trade 1: Math IM | Adv trade 2:",Person,Maker,,,,Brown,Thomas,,I,Thomas Brown,,,Browne,,,,,,,"Joiners, fr 1623 or 1624"

M-98,Makers ref: 98 | Surname: WOODE | First name: John | Alt name: | Date 1 qual: fl | Date 1: 1627 | Date 2 qual: fl | Date 2: 1627 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: n | Mig town: 0 | Count stat: y | Adv trade 1: | Adv trade 2:,Person,Maker,,,,Woode,John,,,John Woode,,,,,,,,,,

M-99,"Makers ref: 99 | Surname: BLEYGHTON | First name: John (I) | Alt name: BLATON, BLADON, BLYTON, BLIGHTON | Date 1 qual: w | Date 1: 1626 | Date 2 qual: w | Date 2: 1654 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: Grocers, fr 1620 | Mig town: L | Count stat: y | Adv trade 1: Math IM (in silver or brass) | Adv trade 2:",Person,Maker,,,,Bleyghton,John,,I,John Bleyghton,,,John Blaton,John Bladon,John Blyton,John Blighton,,,,"Grocers, fr 1620"

